地域,国籍,検挙件数,検挙人員
全国（総数）,総数,2705,1836
アジア州,韓国・朝鮮,19,17
アジア州,中国,534,380
アジア州,インド,6,6
アジア州,インドネシア,112,85
アジア州,サウジアラビア,1,1
アジア州,シンガポール,4,3
アジア州,スリランカ,39,29
アジア州,タイ,111,84
アジア州,パキスタン,9,5
アジア州,バングラデシュ,8,9
アジア州,フィリピン,102,76
アジア州,ベトナム,1281,797
アジア州,マレーシア,6,7
アジア州,ミャンマー,28,19
アジア州,ラオス,2,2
アジア州,イスラエル,0,0
アジア州,ネパール,56,38
アジア州,イラン,15,3
アジア州,その他,97,76
ヨーロッパ州,アイルランド,0,0
ヨーロッパ州,イギリス,9,7
ヨーロッパ州,イタリア,3,3
ヨーロッパ州,オランダ,2,2
ヨーロッパ州,ロシア,2,2
ヨーロッパ州,ドイツ,5,5
ヨーロッパ州,ハンガリー,2,1
ヨーロッパ州,フランス,7,4
ヨーロッパ州,その他,86,61
アメリカ州,アメリカ,41,34
アメリカ州,カナダ,10,10
アメリカ州,メキシコ,8,7
アメリカ州,アルゼンチン,1,1
アメリカ州,コロンビア,8,3
アメリカ州,ブラジル,16,15
アメリカ州,ペルー,5,3
アメリカ州,その他,3,2
アフリカ州,エジプト,0,0
アフリカ州,ガーナ,4,3
アフリカ州,ナイジェリア,22,12
アフリカ州,その他,28,17
オセアニア州,オーストラリア,13,7
オセアニア州,ニュージーランド,0,0
オセアニア州,その他,0,0
